frame,slot,ue,rapid,total_cce,occupied,free,agg,cand,result
688,10,e894,0,8,0,8,4,2,success
688,10,264e,1,8,4,4,4,2,success
688,10,1c28,,8,8,0,4,2,fail
688,10,5f64,,8,8,0,4,2,fail
688,10,299d,,8,8,0,4,2,fail
688,10,0eae,,8,8,0,4,2,fail
688,10,8245,,8,8,0,4,2,fail
688,10,2577,,8,8,0,4,2,fail
688,10,94e2,,8,8,0,4,2,fail
688,10,4184,,8,8,0,4,2,fail
688,17,1c28,2,8,0,8,4,2,success
688,17,5f64,3,8,4,4,4,2,success
688,17,299d,,8,8,0,4,2,fail
688,17,0eae,,8,8,0,4,2,fail
688,17,8245,,8,8,0,4,2,fail
688,17,2577,,8,8,0,4,2,fail
688,17,94e2,,8,8,0,4,2,fail
688,17,4184,,8,8,0,4,2,fail
690,10,bfe4,0,8,0,8,4,2,success
690,10,ceea,1,8,4,4,4,2,success
690,10,4d84,,8,8,0,4,2,fail
690,10,4f70,,8,8,0,4,2,fail
690,10,70bc,,8,8,0,4,2,fail
690,10,1036,,8,8,0,4,2,fail
690,17,4d84,2,8,0,8,4,2,success
690,17,4f70,3,8,4,4,4,2,success
690,17,70bc,,8,8,0,4,2,fail
690,17,1036,,8,8,0,4,2,fail
692,10,ec9a,0,8,0,8,4,2,success
692,10,18cf,1,8,4,4,4,2,success
692,10,2d13,,8,8,0,4,2,fail
692,10,3ef4,,8,8,0,4,2,fail
692,17,2d13,2,8,0,8,4,2,success
692,17,3ef4,3,8,4,4,4,2,success
694,10,1e40,0,8,0,8,4,2,success
694,10,2ad6,1,8,4,4,4,2,success
694,10,fc5c,,8,8,0,4,2,fail
694,10,7f00,,8,8,0,4,2,fail
694,17,fc5c,2,8,0,8,4,2,success
694,17,7f00,3,8,4,4,4,2,success
696,10,6e1b,0,8,0,8,4,2,success
696,10,1330,1,8,4,4,4,2,success
696,10,b33f,,8,8,0,4,2,fail
696,10,6a8f,,8,8,0,4,2,fail
696,17,b33f,2,8,0,8,4,2,success
696,17,6a8f,3,8,4,4,4,2,success
698,10,c8b0,0,8,0,8,4,2,success
698,10,fe17,1,8,4,4,4,2,success
698,10,1d7d,,8,8,0,4,2,fail
698,10,9b56,,8,8,0,4,2,fail
698,17,1d7d,2,8,0,8,4,2,success
698,17,9b56,3,8,4,4,4,2,success
700,10,9f33,0,8,0,8,4,2,success
