ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
e894,688,19,688,10,0,0,8,7
264e,688,19,688,10,0,8,8,15
1c28,689,7,688,17,3,0,8,7
5f64,689,7,688,17,3,8,8,15
bfe4,690,19,690,10,0,0,8,7
ceea,690,19,690,10,0,8,8,15
4d84,691,7,690,17,3,0,8,7
4f70,691,7,690,17,3,8,8,15
ec9a,692,19,692,10,0,0,8,7
18cf,692,19,692,10,0,8,8,15
2d13,693,7,692,17,3,0,8,7
3ef4,693,7,692,17,3,8,8,15
1e40,694,19,694,10,0,0,8,7
2ad6,694,19,694,10,0,8,8,15
fc5c,695,7,694,17,3,0,8,7
7f00,695,7,694,17,3,8,8,15
6e1b,696,19,696,10,0,0,8,7
1330,696,19,696,10,0,8,8,15
b33f,697,7,696,17,3,0,8,7
6a8f,697,7,696,17,3,8,8,15
c8b0,698,19,698,10,0,0,8,7
fe17,698,19,698,10,0,8,8,15
1d7d,699,7,698,17,3,0,8,7
9b56,699,7,698,17,3,8,8,15
9f33,700,19,700,10,0,0,8,7
07ba,700,19,700,10,0,8,8,15
84d4,701,7,700,17,3,0,8,7
8c8e,701,7,700,17,3,8,8,15
635d,702,19,702,10,0,0,8,7
8bd0,702,19,702,10,0,8,8,15
b190,703,7,702,17,3,0,8,7
fb50,703,7,702,17,3,8,8,15
dc93,704,19,704,10,0,0,8,7
911b,704,19,704,10,0,8,8,15
56d6,705,7,704,17,3,0,8,7
8dfd,705,7,704,17,3,8,8,15
c759,706,19,706,10,0,0,8,7
9a91,706,19,706,10,0,8,8,15
a78b,707,7,706,17,3,0,8,7
2f1c,707,7,706,17,3,8,8,15
05a5,708,19,708,10,0,0,8,7
4a88,708,19,708,10,0,8,8,15
f9ea,709,7,708,17,3,0,8,7
d52a,709,7,708,17,3,8,8,15
fdad,710,19,710,10,0,0,8,7
b245,710,19,710,10,0,8,8,15
e503,711,7,710,17,3,0,8,7
f025,711,7,710,17,3,8,8,15
695e,712,19,712,10,0,0,8,7
8829,712,19,712,10,0,8,8,15
27f4,713,7,712,17,3,0,8,7
06a0,713,7,712,17,3,8,8,15
625b,714,19,714,10,0,0,8,7
4516,714,19,714,10,0,8,8,15
4e33,715,7,714,17,3,0,8,7
f8ef,715,7,714,17,3,8,8,15
c83b,716,19,716,10,0,0,8,7
1984,716,19,716,10,0,8,8,15
6111,717,7,716,17,3,0,8,7
59f7,717,7,716,17,3,8,8,15
86ed,718,19,718,10,0,0,8,7
7c4a,718,19,718,10,0,8,8,15
5ed6,719,7,718,17,3,0,8,7
c0a9,719,7,718,17,3,8,8,15
d81d,720,19,720,10,0,0,8,7
e8fb,720,19,720,10,0,8,8,15
44a8,721,7,720,17,3,0,8,7
66b2,721,7,720,17,3,8,8,15
6d82,722,19,722,10,0,0,8,7
fc90,722,19,722,10,0,8,8,15
a517,723,7,722,17,3,0,8,7
723b,723,7,722,17,3,8,8,15
1cfc,724,19,724,10,0,0,8,7
0bee,724,19,724,10,0,8,8,15
af98,725,7,724,17,3,0,8,7
76ea,725,7,724,17,3,8,8,15
c734,726,19,726,10,0,0,8,7
81d2,726,19,726,10,0,8,8,15
dfdc,727,7,726,17,3,0,8,7
bba5,727,7,726,17,3,8,8,15
8adf,728,19,728,10,0,0,8,7
0a6c,728,19,728,10,0,8,8,15
d83a,729,7,728,17,3,0,8,7
c267,729,7,728,17,3,8,8,15
91d6,730,19,730,10,0,0,8,7
101b,730,19,730,10,0,8,8,15
2441,731,7,730,17,3,0,8,7
cb56,731,7,730,17,3,8,8,15
f6fb,732,19,732,10,0,0,8,7
7e24,732,19,732,10,0,8,8,15
2b9f,733,7,732,17,3,0,8,7
04ae,733,7,732,17,3,8,8,15
04ee,734,19,734,10,0,0,8,7
1e7f,734,19,734,10,0,8,8,15
c956,735,7,734,17,3,0,8,7
628b,735,7,734,17,3,8,8,15
9b1e,736,19,736,10,0,0,8,7
ee07,736,19,736,10,0,8,8,15
2945,737,7,736,17,3,0,8,7
5114,737,7,736,17,3,8,8,15
74f6,738,19,738,10,0,0,8,7
593b,738,19,738,10,0,8,8,15
b0e7,739,7,738,17,3,0,8,7
d9fc,739,7,738,17,3,8,8,15
70c3,740,19,740,10,0,0,8,7
bf55,740,19,740,10,0,8,8,15
11ee,741,7,740,17,3,0,8,7
9ffa,741,7,740,17,3,8,8,15
7215,742,19,742,10,0,0,8,7
1562,742,19,742,10,0,8,8,15
1f8b,743,7,742,17,3,0,8,7
4b50,743,7,742,17,3,8,8,15
a917,744,19,744,10,0,0,8,7
8ae4,744,19,744,10,0,8,8,15
3d43,745,7,744,17,3,0,8,7
3b92,745,7,744,17,3,8,8,15
e8fc,746,19,746,10,0,0,8,7
e0c6,746,19,746,10,0,8,8,15
c14c,747,7,746,17,3,0,8,7
fd25,747,7,746,17,3,8,8,15
5196,748,19,748,10,0,0,8,7
c32f,748,19,748,10,0,8,8,15
4f57,749,7,748,17,3,0,8,7
8801,749,7,748,17,3,8,8,15
923d,750,19,750,10,0,0,8,7
0d4f,750,19,750,10,0,8,8,15
8471,751,7,750,17,3,0,8,7
b1e6,751,7,750,17,3,8,8,15
bd93,752,19,752,10,0,0,8,7
c6b2,752,19,752,10,0,8,8,15
9848,753,7,752,17,3,0,8,7
1f26,753,7,752,17,3,8,8,15
4253,754,19,754,10,0,0,8,7
4d07,754,19,754,10,0,8,8,15
dd04,755,7,754,17,3,0,8,7
7804,755,7,754,17,3,8,8,15
2a81,756,19,756,10,0,0,8,7
e6b6,756,19,756,10,0,8,8,15
40bb,757,7,756,17,3,0,8,7
98cd,757,7,756,17,3,8,8,15
0788,758,19,758,10,0,0,8,7
96a1,758,19,758,10,0,8,8,15
feff,759,7,758,17,3,0,8,7
0bee,759,7,758,17,3,8,8,15
1af6,760,19,760,10,0,0,8,7
