ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
f5bb,595,17,595,7,3,0,8,7
6080,595,17,595,7,3,8,8,15
5b77,595,19,595,10,0,12,8,19
b15f,595,19,595,10,0,20,8,27
fb60,596,7,595,17,3,0,8,7
5598,596,7,595,17,3,8,8,15
c139,596,17,596,7,3,0,8,7
bba6,596,17,596,7,3,8,8,15
6f3f,597,7,596,17,3,0,8,7
59af,597,7,596,17,3,8,8,15
58b2,599,17,599,7,3,0,8,7
9bfc,599,17,599,7,3,8,8,15
8129,600,7,599,17,3,0,8,7
b54b,600,7,599,17,3,8,8,15
01df,600,17,600,7,3,0,8,7
fc39,600,17,600,7,3,8,8,15
6913,601,7,600,17,3,0,8,7
4ed9,601,7,600,17,3,8,8,15
98e9,601,17,601,7,3,0,8,7
5370,601,17,601,7,3,8,8,15
c618,603,17,603,7,3,0,8,7
abc9,603,17,603,7,3,8,8,15
ca1b,604,17,604,7,3,0,8,7
05f1,604,17,604,7,3,8,8,15
28c5,605,7,604,17,3,0,8,7
3c77,605,7,604,17,3,8,8,15
4df7,605,17,605,7,3,0,8,7
fd91,605,17,605,7,3,8,8,15
ca6f,606,7,605,17,3,0,8,7
4659,606,7,605,17,3,8,8,15
7f30,607,17,607,7,3,0,8,7
1f0f,607,17,607,7,3,8,8,15
fbcd,608,17,608,7,3,0,8,7
5161,608,17,608,7,3,8,8,15
a63a,609,17,609,7,3,0,8,7
af30,609,17,609,7,3,8,8,15
fce1,610,7,609,17,3,0,8,7
acb0,610,7,609,17,3,8,8,15
151a,610,17,610,7,3,0,8,7
3f04,610,17,610,7,3,8,8,15
6a14,611,17,611,7,3,0,8,7
055f,611,17,611,7,3,8,8,15
14e3,612,17,612,7,3,0,8,7
78cc,612,17,612,7,3,8,8,15
b6a1,613,17,613,7,3,0,8,7
3cc2,613,17,613,7,3,8,8,15
e9b4,614,17,614,7,3,0,8,7
38fe,614,17,614,7,3,8,8,15
4053,615,7,614,17,3,0,8,7
5a7a,615,7,614,17,3,8,8,15
47b8,615,17,615,7,3,0,8,7
f9db,615,17,615,7,3,8,8,15
402b,616,17,616,7,3,0,8,7
f48a,616,17,616,7,3,8,8,15
5c00,617,17,617,7,3,0,8,7
9736,617,17,617,7,3,8,8,15
55db,618,17,618,7,3,0,8,7
7f9a,618,17,618,7,3,8,8,15
9e2e,619,17,619,7,3,0,8,7
9580,619,17,619,7,3,8,8,15
7f3e,620,7,619,17,3,0,8,7
c8c7,620,7,619,17,3,8,8,15
8e19,620,17,620,7,3,0,8,7
9e71,620,17,620,7,3,8,8,15
e55b,621,17,621,7,3,0,8,7
86d2,621,17,621,7,3,8,8,15
33de,622,17,622,7,3,0,8,7
0439,622,17,622,7,3,8,8,15
a444,623,17,623,7,3,0,8,7
eaf1,623,17,623,7,3,8,8,15
15b9,624,17,624,7,3,0,8,7
79d2,624,17,624,7,3,8,8,15
d24b,625,7,624,17,3,0,8,7
ad28,625,7,624,17,3,8,8,15
623b,625,17,625,7,3,0,8,7
96da,625,17,625,7,3,8,8,15
1535,626,17,626,7,3,0,8,7
89e0,626,17,626,7,3,8,8,15
e39a,627,17,627,7,3,0,8,7
c0b5,627,17,627,7,3,8,8,15
464a,628,17,628,7,3,0,8,7
157f,628,17,628,7,3,8,8,15
4552,629,17,629,7,3,0,8,7
30d8,629,17,629,7,3,8,8,15
cb93,630,7,629,17,3,0,8,7
0c54,630,7,629,17,3,8,8,15
a103,630,17,630,7,3,0,8,7
b3e2,630,17,630,7,3,8,8,15
a416,631,17,631,7,3,0,8,7
adb1,631,17,631,7,3,8,8,15
11ce,632,17,632,7,3,0,8,7
2ec1,632,17,632,7,3,8,8,15
5ff9,633,17,633,7,3,0,8,7
0aa3,633,17,633,7,3,8,8,15
6c91,634,17,634,7,3,0,8,7
ad26,634,17,634,7,3,8,8,15
d70a,635,7,634,17,3,0,8,7
3096,635,7,634,17,3,8,8,15
071d,635,17,635,7,3,0,8,7
23e3,635,17,635,7,3,8,8,15
35fa,636,17,636,7,3,0,8,7
3ef7,636,17,636,7,3,8,8,15
6493,637,17,637,7,3,0,8,7
c68e,637,17,637,7,3,8,8,15
6cff,638,17,638,7,3,0,8,7
5b59,638,17,638,7,3,8,8,15
dded,639,17,639,7,3,0,8,7
54ff,639,17,639,7,3,8,8,15
0620,640,7,639,17,3,0,8,7
dc93,640,7,639,17,3,8,8,15
90ea,640,17,640,7,3,0,8,7
