experiment,duration_sec,rapp_duration_sec,analysis_window_sec,latency_sec
1,6.767,1.09,10.0,17.857
2,6.671,1.039,10.0,17.71
3,6.445,1.102,10.0,17.547
4,6.245,1.172,10.0,17.417
5,6.168,1.031,10.0,17.199
6,6.3,1.031,10.0,17.331
7,6.036,1.176,10.0,17.212
8,6.527,1.111,10.0,17.638
9,6.279,1.012,10.0,17.291
10,6.363,1.093,10.0,17.456
11,6.553,1.013,10.0,17.566
12,5.571,1.013,10.0,16.584
13,5.42,1.069,10.0,16.489
14,5.603,0.897,10.0,16.5
15,5.541,0.912,10.0,16.453
16,5.541,1.005,10.0,16.546
17,5.54,0.969,10.0,16.509
18,5.568,1.075,10.0,16.643
19,5.566,0.977,10.0,16.543
20,5.531,0.937,10.0,16.468
21,5.559,1.167,10.0,16.726
22,5.556,1.032,10.0,16.588
23,5.578,1.055,10.0,16.633
24,5.565,0.936,10.0,16.501
25,5.529,1.006,10.0,16.535
26,5.558,1.059,10.0,16.617
27,5.524,0.958,10.0,16.482
28,5.528,1.08,10.0,16.608
29,5.526,1.002,10.0,16.528
30,5.547,1.027,10.0,16.574
31,5.531,1.002,10.0,16.533
32,5.53,1.198,10.0,16.728
33,5.533,1.049,10.0,16.582
34,5.515,0.965,10.0,16.48
35,5.515,1.116,10.0,16.631
36,5.536,0.952,10.0,16.488
37,5.501,1.067,10.0,16.568
38,5.514,0.893,10.0,16.407
39,5.522,0.944,10.0,16.466
40,5.595,1.066,10.0,16.661
41,5.597,1.109,10.0,16.706
42,5.594,1.064,10.0,16.658
43,5.591,1.041,10.0,16.632
44,5.517,1.026,10.0,16.543
45,5.608,0.932,10.0,16.54
46,5.594,0.992,10.0,16.586
47,5.553,1.013,10.0,16.566
48,5.525,1.135,10.0,16.66
49,5.492,1.077,10.0,16.569
50,5.527,0.909,10.0,16.436
51,5.564,1.076,10.0,16.64
52,5.559,1.019,10.0,16.578
53,5.607,0.996,10.0,16.603
54,5.582,1.099,10.0,16.681
55,5.549,1.132,10.0,16.681
56,5.521,1.125,10.0,16.646
57,5.52,0.983,10.0,16.503
58,5.592,1.025,10.0,16.617
59,5.609,1.077,10.0,16.686
60,5.607,1.128,10.0,16.735
61,5.587,1.012,10.0,16.599
62,5.509,1.035,10.0,16.544
63,5.607,0.961,10.0,16.568
64,5.585,0.954,10.0,16.539
65,5.516,1.115,10.0,16.631
66,5.546,1.158,10.0,16.704
67,5.542,1.044,10.0,16.586
68,5.54,1.13,10.0,16.67
69,5.548,1.079,10.0,16.627
70,5.558,0.998,10.0,16.556
71,5.57,1.079,10.0,16.649
72,5.526,1.173,10.0,16.699
73,5.541,1.047,10.0,16.588
74,5.507,1.175,10.0,16.682
75,5.586,0.84,10.0,16.426
76,5.532,1.116,10.0,16.648
77,5.517,1.057,10.0,16.574
78,5.572,1.026,10.0,16.598
79,5.53,1.057,10.0,16.587
80,5.563,0.891,10.0,16.454
81,5.566,1.032,10.0,16.598
82,5.575,1.079,10.0,16.654
83,5.566,1.168,10.0,16.734
84,5.526,1.009,10.0,16.535
85,5.563,0.985,10.0,16.548
86,5.583,1.01,10.0,16.593
87,5.581,1.123,10.0,16.704
88,5.612,1.076,10.0,16.688
89,5.512,1.008,10.0,16.52
90,5.494,1.091,10.0,16.585
91,5.587,1.058,10.0,16.645
92,5.524,1.127,10.0,16.651
93,5.536,0.994,10.0,16.53
94,5.533,1.024,10.0,16.557
95,5.531,1.019,10.0,16.55
96,5.56,0.933,10.0,16.493
97,5.562,1.074,10.0,16.636
98,5.589,1.071,10.0,16.66
99,5.596,1.05,10.0,16.646
100,5.594,1.031,10.0,16.625
101,5.534,0.937,10.0,16.471
102,5.565,1.016,10.0,16.581
103,5.532,1.023,10.0,16.555
104,5.523,0.986,10.0,16.509
105,5.592,1.037,10.0,16.629
106,5.607,1.082,10.0,16.689
107,5.573,1.201,10.0,16.774
108,5.578,1.064,10.0,16.642
109,5.593,1.071,10.0,16.664
110,5.578,1.044,10.0,16.622
111,5.596,0.896,10.0,16.492
112,5.584,1.048,10.0,16.632
113,5.575,1.055,10.0,16.63
114,5.601,1.247,10.0,16.848
115,5.614,1.035,10.0,16.649
116,5.607,1.074,10.0,16.681
117,5.601,1.047,10.0,16.648
118,5.548,0.957,10.0,16.505
119,5.609,1.141,10.0,16.75
120,6.034,1.11,10.0,17.144
121,5.567,1.113,10.0,16.68
122,5.614,0.977,10.0,16.591
123,5.609,1.162,10.0,16.771
124,5.546,0.938,10.0,16.484
125,5.608,1.097,10.0,16.705
126,5.584,1.225,10.0,16.809
127,5.612,0.971,10.0,16.583
128,5.589,1.005,10.0,16.594
129,6.035,1.058,10.0,17.093
130,5.529,1.01,10.0,16.539
131,5.537,0.926,10.0,16.463
132,5.527,1.055,10.0,16.582
133,5.482,0.965,10.0,16.447
134,5.518,1.088,10.0,16.606
